,Total_Plays,Active_Maps,Average_Map_Quality
0,0,0,0.6758724253862367
1,0,0,0.6758724253862367
2,0,0,0.6758724253862367
3,0,0,0.6758724253862367
4,0,0,0.6758724253862367
5,0,0,0.6758724253862367
6,0,0,0.6758724253862367
7,0,0,0.6758724253862367
8,0,0,0.6758724253862367
9,2,2,0.6758724253862367
10,2,2,0.6758724253862367
11,2,2,0.6758724253862367
12,4,4,0.6758724253862367
13,9,9,0.6758724253862367
14,14,14,0.6758724253862367
15,24,24,0.6758724253862367
16,41,39,0.6758724253862367
17,53,50,0.6758724253862367
18,79,73,0.6758724253862367
19,107,98,0.6758724253862367
20,124,112,0.6758724253862367
21,161,144,0.6758724253862367
22,189,167,0.6758724253862367
23,218,191,0.6758724253862367
24,242,207,0.6758797883940477
25,275,236,0.6758797883940477
26,300,255,0.6758797883940477
27,332,279,0.6758797883940477
28,362,303,0.6758797883940477
29,390,319,0.6758797883940477
30,422,336,0.6758797883940477
31,450,351,0.6758797883940477
32,476,362,0.6758797883940477
33,510,377,0.6758797883940477
34,536,393,0.6758797883940477
35,559,409,0.6758797883940477
36,601,431,0.6758797883940477
37,626,443,0.6758797883940477
38,651,461,0.6758797883940477
39,685,471,0.6758797883940477
40,716,485,0.6758797883940477
41,741,498,0.6758797883940477
42,772,511,0.6758797883940477
43,800,526,0.6758797883940477
44,831,540,0.6758797883940477
45,853,551,0.6758797883940477
46,885,562,0.6758797883940477
47,915,575,0.6758797883940477
48,943,591,0.6758231326157124
49,970,602,0.6758231326157124
50,1005,617,0.6758231326157124
51,1029,628,0.6758231326157124
52,1052,636,0.6758231326157124
53,1089,653,0.6758231326157124
54,1118,669,0.6758231326157124
55,1140,676,0.6758231326157124
56,1167,688,0.6758231326157124
57,1200,698,0.6758231326157124
58,1225,709,0.6758231326157124
59,1252,715,0.6758231326157124
60,1282,724,0.6758231326157124
61,1312,731,0.6758231326157124
62,1340,743,0.6758231326157124
63,1368,754,0.6758231326157124
64,1391,761,0.6758231326157124
65,1427,769,0.6758231326157124
66,1449,775,0.6758231326157124
67,1481,780,0.6758231326157124
68,1509,787,0.6758231326157124
69,1535,792,0.6758231326157124
70,1562,799,0.6758231326157124
71,1597,813,0.6758231326157124
72,1627,823,0.6757592288835212
73,1652,829,0.6757592288835212
74,1683,837,0.6757592288835212
75,1712,846,0.6757592288835212
76,1739,853,0.6757592288835212
77,1766,862,0.6757592288835212
78,1794,868,0.6757592288835212
79,1828,872,0.6757592288835212
80,1854,879,0.6757592288835212
81,1882,885,0.6757592288835212
82,1914,891,0.6757592288835212
83,1940,898,0.6757592288835212
84,1966,907,0.6757592288835212
85,1995,914,0.6757592288835212
86,2026,921,0.6757592288835212
87,2056,929,0.6757592288835212
88,2080,934,0.6757592288835212
89,2102,941,0.6757592288835212
90,2142,949,0.6757592288835212
91,2167,957,0.6757592288835212
92,2189,961,0.6757592288835212
93,2224,967,0.6757592288835212
