,Total_Plays,Active_Maps,Average_Map_Quality
245,6588,1579,0.6755854099199078
246,6615,1582,0.6755854099199078
247,6637,1585,0.6755854099199078
248,6673,1587,0.6755854099199078
249,6703,1589,0.6755854099199078
250,6728,1591,0.6755854099199078
251,6757,1593,0.6755854099199078
252,6784,1599,0.6755854099199078
253,6817,1601,0.6755854099199078
254,6839,1602,0.6755854099199078
255,6868,1604,0.6755854099199078
256,6900,1606,0.6755854099199078
257,6929,1607,0.6755854099199078
258,6945,1609,0.6755854099199078
259,6986,1611,0.6755854099199078
260,7014,1613,0.6755854099199078
261,7039,1615,0.6755854099199078
262,7065,1616,0.6755854099199078
263,7103,1617,0.6755854099199078
264,7130,1618,0.6757134814168246
265,7146,1620,0.6757134814168246
266,7185,1621,0.6757134814168246
267,7217,1624,0.6757134814168246
268,7234,1624,0.6757134814168246
269,7266,1627,0.6757134814168246
270,7302,1631,0.6757134814168246
271,7326,1631,0.6757134814168246
272,7352,1633,0.6757134814168246
273,7382,1635,0.6757134814168246
274,7414,1636,0.6757134814168246
275,7439,1639,0.6757134814168246
276,7466,1642,0.6757134814168246
277,7499,1646,0.6757134814168246
278,7521,1647,0.6757134814168246
279,7550,1649,0.6757134814168246
280,7583,1651,0.6757134814168246
281,7608,1651,0.6757134814168246
282,7637,1653,0.6757134814168246
283,7667,1653,0.6757134814168246
284,7694,1655,0.6757134814168246
285,7722,1657,0.6757134814168246
286,7758,1660,0.6757134814168246
287,7781,1660,0.6757134814168246
288,7807,1660,0.6756708256812984
289,7841,1662,0.6756708256812984
290,7874,1664,0.6756708256812984
291,7898,1665,0.6756708256812984
292,7926,1668,0.6756708256812984
293,7957,1671,0.6756708256812984
294,7989,1672,0.6756708256812984
295,8011,1676,0.6756708256812984
296,8044,1680,0.6756708256812984
297,8072,1683,0.6756708256812984
298,8096,1685,0.6756708256812984
299,8126,1688,0.6756708256812984
300,8160,1689,0.6756708256812984
301,8180,1692,0.6756708256812984
302,8211,1694,0.6756708256812984
303,8240,1696,0.6756708256812984
304,8267,1699,0.6756708256812984
305,8290,1701,0.6756708256812984
306,8323,1704,0.6756708256812984
307,8354,1705,0.6756708256812984
308,8374,1707,0.6756708256812984
309,8410,1708,0.6756708256812984
310,8436,1710,0.6756708256812984
311,8464,1714,0.6756708256812984
312,8491,1715,0.6757619046142104
313,8521,1719,0.6757619046142104
314,8551,1723,0.6757619046142104
315,8574,1724,0.6757619046142104
316,8605,1726,0.6757619046142104
317,8636,1729,0.6757619046142104
318,8659,1732,0.6757619046142104
319,8689,1733,0.6757619046142104
320,8716,1734,0.6757619046142104
321,8742,1734,0.6757619046142104
322,8768,1735,0.6757619046142104
323,8798,1738,0.6757619046142104
324,8817,1739,0.6757619046142104
325,8842,1741,0.6757619046142104
326,8874,1742,0.6757619046142104
327,8898,1743,0.6757619046142104
328,8925,1744,0.6757619046142104
329,8951,1746,0.6757619046142104
330,8983,1749,0.6757619046142104
331,9013,1750,0.6757619046142104
332,9031,1750,0.6757619046142104
333,9063,1755,0.6757619046142104
334,9092,1756,0.6757619046142104
335,9119,1756,0.6757619046142104
